Country_name,Total_new_vaccinations
India,4632233
India,673053
United States of America,531526
India,2394095
United States of America,1367173
United States of America,833278
United States of America,1494928
India,2190685
United States of America,1465373
India,509893
India,4492585
United States of America,2124179
Vietnam,550008
India,2998211
India,1023876
India,550043
United States of America,1229319
United States of America,2199949
India,551164
India,1839134
India,3705798
India,1365332
India,2862315
India,3103616
India,7453586
India,2386956
Vietnam,1156537
India,2425146
India,2594964
United States of America,833087
India,3795154
Vietnam,1503790
India,671536
India,792807
United States of America,1276623
United States of America,1930373
United States of America,553145
India,571974
India,767831
India,1812178
United States of America,851525
United States of America,1596711
India,1755510
United States of America,577540
Vietnam,548053
India,543724
United States of America,2005987
United States of America,776103
India,2110035
Vietnam,982099
India,6019845
Vietnam,875176
India,832350
United States of America,837472
United States of America,506415
India,1060944
India,3056851
India,2091244
India,3685939
India,1289442
India,1139815
United States of America,1415536
Vietnam,733399
India,2100799
India,4035094
United States of America,871328
United States of America,2084466
India,2114586
